730048278 function calls (729822249 primitive calls) in 219.429 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        9    0.000    0.000    0.000    0.000 dataclasses.py:527(_field_assign)
        3    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
        9    0.000    0.000    0.000    0.000 dataclasses.py:704(_is_initvar)
        2    0.000    0.000    0.000    0.000 move_strategies.py:523(_is_double_move_valid)
        1    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
        3    0.000    0.000    0.000    0.000 enum.py:1575(_get_value)
        9    0.000    0.000    0.000    0.000 dataclasses.py:599(_init_param)
       11    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 inspect.py:2394(_descriptor_get)
        6    0.000    0.000    0.000    0.000 mock.py:615(__get_side_effect)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:143(__subclasshook__)
        3    0.000    0.000    0.000    0.000 functools.py:500(_unwrap_partial)
        1    0.000    0.000    0.000    0.000 inspect.py:308(_has_coroutine_mark)
        2    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        9    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 dataclasses.py:294(__init__)
        5    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        9    0.000    0.000    0.000    0.000 enum.py:1145(__new__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1229(__exit__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1236(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:404(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       11    0.000    0.000    0.000    0.000 dataclasses.py:1181(<genexpr>)
       11    0.000    0.000    0.000    0.000 dataclasses.py:419(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        8    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 _compiler.py:450(_get_literal_prefix)
       18    0.000    0.000    0.000    0.000 game.py:13(board)
        1    0.000    0.000    0.000    0.000 pstats.py:67(__annotate__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1290(_sanity_check)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1225(__enter__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:448(cb)
       23    0.000    0.000    0.000    0.000 inspect.py:2735(kind)
        4    0.000    0.000    0.000    0.000 inspect.py:267(isfunction)
        8    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        3    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        2    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        8    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        9    0.000    0.000    0.000    0.000 _compiler.py:33(_combine_flags)
        1    0.000    0.000    0.000    0.000 pstats.py:35(SortKey)
        2    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
        5    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        4    0.000    0.000    0.000    0.000 inspect.py:184(isclass)
       11    0.000    0.000    0.000    0.000 dataclasses.py:1117(<genexpr>)
        1    0.000    0.000    0.000    0.000 pstats.py:57(__annotate__)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:108(_check_methods)
        4    0.000    0.000    0.000    0.000 board_utils.py:20(get_last_row_index)
        2    0.000    0.000    0.000    0.000 dataclasses.py:1342(dataclass)
       15    0.000    0.000    0.000    0.000 inspect.py:2723(name)
        1    0.000    0.000    0.000    0.000 mock.py:533(_mock_add_spec)
        2    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        8    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
        9    0.000    0.000    0.000    0.000 dataclasses.py:710(_is_kw_only)
        6    0.000    0.000    0.000    0.000 mock.py:1165(_mock_check_sig)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:186(__subclasshook__)
        1    0.000    0.000    0.000    0.000 pstats.py:57(FunctionProfile)
        2    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 {method '__enter__' of '_io._IOBase' objects}
        3    0.000    0.000    0.000    0.000 {built-in method from_bytes}
